,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__class_weight,param_clf__tol,param_tfidf__binary,param_tfidf__lowercase,param_tfidf__ngram_range,param_tfidf__stop_words,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
486,0.030788262685139973,0.0005427301496434394,0.013330936431884766,9.209399200447645e-05,balanced,0.4393970560760795,True,False,"(1, 1)",,"{'clf__class_weight': 'balanced', 'clf__tol': 0.4393970560760795, 'tfidf__binary': True, 'tfidf__lowercase': False, 'tfidf__ngram_range': (1, 1), 'tfidf__stop_words': None}",0.8814185814185814,0.8395630836668573,0.9185113081933329,0.879830991092924,0.032250021925080856,1
384,0.03600080808003744,0.0007685833122243448,0.01586755116780599,0.0033887583809457797,balanced,8.483428982440725e-05,True,True,"(1, 1)",,"{'clf__class_weight': 'balanced', 'clf__tol': 8.483428982440725e-05, 'tfidf__binary': True, 'tfidf__lowercase': True, 'tfidf__ngram_range': (1, 1), 'tfidf__stop_words': None}",0.8968438917890742,0.8317654241950017,0.8886034255599472,0.872404247181341,0.02893224004698581,2
432,0.03353261947631836,0.0005463971625154107,0.013434012730916342,0.0002504858719381785,balanced,0.006105402296585327,True,True,"(1, 1)",,"{'clf__class_weight': 'balanced', 'clf__tol': 0.006105402296585327, 'tfidf__binary': True, 'tfidf__lowercase': True, 'tfidf__ngram_range': (1, 1), 'tfidf__stop_words': None}",0.8968438917890742,0.8317654241950017,0.8886034255599472,0.872404247181341,0.02893224004698581,2
408,0.05855401357014974,0.002220533186826486,0.026761849721272785,0.003118715612357811,balanced,0.0007196856730011522,True,True,"(1, 1)",,"{'clf__class_weight': 'balanced', 'clf__tol': 0.0007196856730011522, 'tfidf__binary': True, 'tfidf__lowercase': True, 'tfidf__ngram_range': (1, 1), 'tfidf__stop_words': None}",0.8968438917890742,0.8317654241950017,0.8886034255599472,0.872404247181341,0.02893224004698581,2
360,0.06461485226949056,0.003779839289700833,0.025052229563395183,0.001468969007955461,balanced,1e-05,True,True,"(1, 1)",,"{'clf__class_weight': 'balanced', 'clf__tol': 1e-05, 'tfidf__binary': True, 'tfidf__lowercase': True, 'tfidf__ngram_range': (1, 1), 'tfidf__stop_words': None}",0.8968438917890742,0.8317654241950017,0.8886034255599472,0.872404247181341,0.02893224004698581,2
390,0.03550799687703451,0.0007158001929125626,0.013446569442749023,0.0004911087466034363,balanced,8.483428982440725e-05,True,False,"(1, 1)",,"{'clf__class_weight': 'balanced', 'clf__tol': 8.483428982440725e-05, 'tfidf__binary': True, 'tfidf__lowercase': False, 'tfidf__ngram_range': (1, 1), 'tfidf__stop_words': None}",0.8735440284353329,0.8473772232333876,0.8960979226324495,0.8723397247670567,0.019908363367816127,6
462,0.056683619817097984,0.0038031390760194937,0.022565364837646484,0.0002804285638187293,balanced,0.05179474679231213,True,False,"(1, 1)",,"{'clf__class_weight': 'balanced', 'clf__tol': 0.05179474679231213, 'tfidf__binary': True, 'tfidf__lowercase': False, 'tfidf__ngram_range': (1, 1), 'tfidf__stop_words': None}",0.8735440284353329,0.8473772232333876,0.8960979226324495,0.8723397247670567,0.019908363367816127,6
366,0.038194735844930015,0.0023565960224352896,0.013608932495117188,0.00017182069026167816,balanced,1e-05,True,False,"(1, 1)",,"{'clf__class_weight': 'balanced', 'clf__tol': 1e-05, 'tfidf__binary': True, 'tfidf__lowercase': False, 'tfidf__ngram_range': (1, 1), 'tfidf__stop_words': None}",0.8735440284353329,0.8473772232333876,0.8960979226324495,0.8723397247670567,0.019908363367816127,6
414,0.05927189191182455,0.0016382480900493633,0.024538675944010418,0.0009026456733978223,balanced,0.0007196856730011522,True,False,"(1, 1)",,"{'clf__class_weight': 'balanced', 'clf__tol': 0.0007196856730011522, 'tfidf__binary': True, 'tfidf__lowercase': False, 'tfidf__ngram_range': (1, 1), 'tfidf__stop_words': None}",0.8735440284353329,0.8473772232333876,0.8960979226324495,0.8723397247670567,0.019908363367816127,6
438,0.03398958841959635,0.00016698429850191358,0.013487736384073893,0.0003910184066263291,balanced,0.006105402296585327,True,False,"(1, 1)",,"{'clf__class_weight': 'balanced', 'clf__tol': 0.006105402296585327, 'tfidf__binary': True, 'tfidf__lowercase': False, 'tfidf__ngram_range': (1, 1), 'tfidf__stop_words': None}",0.8735440284353329,0.8473772232333876,0.8960979226324495,0.8723397247670567,0.019908363367816127,6
